id,occ_date,occ_year,premises_type,bike_cost,cost_group
13905,2017-10-17,2017,Apartment,970,500<1000
13906,2017-11-19,2017,Apartment,500,500<1000
13907,2017-11-20,2017,Apartment,1000,1000<1500
13908,2017-11-20,2017,Commercial,1000,1000<1500
13909,2017-11-20,2017,Outside,699,500<1000
13910,2017-11-20,2017,House,300,<500
13911,2017-11-20,2017,Outside,699,500<1000
13912,2017-11-20,2017,Apartment,1500,1500<2000
13913,2017-11-19,2017,Apartment,50,<500
13914,2017-11-20,2017,House,350,<500
13915,2017-11-21,2017,Apartment,2000,2000<
13916,2017-10-15,2017,Outside,2680,2000<
13917,2017-11-22,2017,Outside,600,500<1000
13918,2017-11-22,2017,Outside,1000,1000<1500
13921,2017-11-11,2017,Apartment,1500,1500<2000
13923,2017-11-08,2017,House,1500,1500<2000
13924,2017-11-23,2017,Educational,1215,1000<1500
13926,2017-11-14,2017,Outside,800,500<1000
13927,2017-11-13,2017,Outside,750,500<1000
13928,2017-11-22,2017,House,1000,1000<1500
13929,2017-11-08,2017,House,1000,1000<1500
13930,2017-11-21,2017,House,434,<500
13931,2017-10-20,2017,Outside,700,500<1000
13932,2017-11-14,2017,Outside,800,500<1000
13933,2017-11-21,2017,Apartment,2500,2000<
13934,2017-11-17,2017,Outside,650,500<1000
13935,2017-07-26,2017,House,5000,2000<
13936,2017-11-13,2017,Other,860,500<1000
13937,2017-11-22,2017,Outside,400,<500
13938,2017-11-24,2017,House,1000,1000<1500
13939,2017-11-23,2017,Outside,400,<500
13940,2017-11-24,2017,House,1000,1000<1500
13941,2017-11-23,2017,Commercial,377.42,<500
13942,2017-11-16,2017,Apartment,1400,1000<1500
13943,2017-11-13,2017,Other,420,<500
13944,2017-11-13,2017,Outside,700,500<1000
13945,2017-11-23,2017,Other,400,<500
13948,2017-11-24,2017,Educational,1300,1000<1500
13949,2017-11-25,2017,House,800,500<1000
13952,2017-11-25,2017,Apartment,700,500<1000
13953,2017-11-26,2017,Outside,800,500<1000
13955,2017-11-24,2017,Commercial,550,500<1000
13956,2017-11-25,2017,Apartment,1500,1500<2000
13958,2017-11-20,2017,House,80,<500
13959,2017-11-27,2017,Outside,800,500<1000
13960,2017-11-25,2017,Apartment,1500,1500<2000
13962,2017-11-24,2017,House,1000,1000<1500
13963,2017-11-26,2017,Other,750,500<1000
13964,2017-11-26,2017,Educational,500,500<1000
13965,2017-11-26,2017,Other,750,500<1000
13967,2017-11-25,2017,House,3499.99,2000<
13968,2017-11-24,2017,Outside,1200,1000<1500
13969,2017-11-20,2017,House,120,<500
13971,2017-10-02,2017,Educational,250,<500
13972,2017-10-05,2017,Outside,500,500<1000
13973,2017-11-11,2017,Other,500,500<1000
13974,2017-11-26,2017,Outside,600,500<1000
13976,2017-11-28,2017,Other,800,500<1000
13977,2017-11-22,2017,House,300,<500
13978,2017-11-23,2017,Other,2500,2000<
13979,2017-11-23,2017,Educational,1000,1000<1500
13980,2017-11-23,2017,Commercial,500,500<1000
13981,2017-11-05,2017,House,2500,2000<
13982,2017-11-27,2017,Other,800,500<1000
13983,2017-09-16,2017,Apartment,2003.49,2000<
13984,2017-11-29,2017,Commercial,1000,1000<1500
13985,2017-11-29,2017,Other,1000,1000<1500
13986,2017-11-28,2017,Educational,400,<500
13987,2017-11-28,2017,Commercial,1000,1000<1500
13988,2017-11-28,2017,Outside,600,500<1000
13989,2017-11-23,2017,Other,775,500<1000
13990,2017-11-28,2017,Outside,600,500<1000
13991,2017-12-01,2017,Outside,300,<500
13992,2017-11-30,2017,Commercial,929.26,500<1000
13993,2017-11-20,2017,Apartment,800,500<1000
13994,2017-11-29,2017,House,600,500<1000
13995,2017-12-01,2017,Outside,1500,1500<2000
13996,2017-11-28,2017,House,3000,2000<
13997,2017-11-29,2017,Outside,1300,1000<1500
13998,2017-12-01,2017,House,600,500<1000
14000,2017-12-01,2017,House,500,500<1000
14001,2017-12-01,2017,House,700,500<1000
14002,2017-11-01,2017,Other,1600,1500<2000
14004,2017-12-01,2017,House,1000,1000<1500
14005,2017-12-02,2017,Outside,650,500<1000
14006,2017-12-01,2017,Outside,800,500<1000
14007,2017-06-23,2017,Commercial,750,500<1000
14009,2017-12-01,2017,Apartment,250,<500
14010,2017-11-28,2017,Other,1000,1000<1500
14011,2017-10-20,2017,Outside,70,<500
14012,2017-11-24,2017,Apartment,1700,1500<2000
14013,2017-12-01,2017,Outside,650,500<1000
14015,2017-11-22,2017,Outside,200,<500
14016,2017-12-03,2017,Outside,250,<500
14017,2017-11-20,2017,Outside,500,500<1000
14018,2017-12-04,2017,Apartment,4000,2000<
14021,2017-12-02,2017,Outside,690,500<1000
14023,2017-12-03,2017,Outside,800,500<1000
14024,2017-12-04,2017,Apartment,5000,2000<
14025,2017-11-29,2017,Commercial,600,500<1000
14026,2017-09-26,2017,Educational,3000,2000<
14027,2017-12-05,2017,Apartment,500,500<1000
14028,2017-11-29,2017,Commercial,625,500<1000
14029,2017-12-05,2017,Commercial,750,500<1000
14030,2017-12-01,2017,Outside,3000,2000<
14031,2017-12-05,2017,Apartment,680,500<1000
14032,2017-11-23,2017,Apartment,1500,1500<2000
14033,2017-11-29,2017,Educational,700,500<1000
14034,2017-12-04,2017,Outside,600,500<1000
14035,2017-11-28,2017,Apartment,5000,2000<
14036,2017-10-22,2017,Other,1000,1000<1500
14037,2017-12-05,2017,Outside,1200,1000<1500
14038,2017-12-05,2017,Apartment,700,500<1000
14039,2017-12-06,2017,Commercial,1000,1000<1500
14040,2017-11-20,2017,Outside,600,500<1000
14041,2017-11-29,2017,Other,587,500<1000
14042,2017-12-06,2017,Outside,1000,1000<1500
14043,2017-12-07,2017,Educational,1500,1500<2000
14044,2017-09-07,2017,Commercial,1500,1500<2000
14045,2017-11-28,2017,Commercial,400,<500
14046,2017-10-09,2017,Educational,190,<500
14047,2017-12-02,2017,Apartment,300,<500
14049,2017-11-30,2017,House,300,<500
14050,2017-12-08,2017,House,300,<500
14052,2017-11-29,2017,Apartment,1399,1000<1500
14053,2017-12-06,2017,Outside,500,500<1000
14055,2017-12-09,2017,Commercial,700,500<1000
14056,2017-12-08,2017,Outside,700,500<1000
14057,2017-11-20,2017,Outside,650,500<1000
14058,2017-12-08,2017,Commercial,200,<500
14059,2017-10-06,2017,Educational,165,<500
14060,2017-12-05,2017,Outside,2000,2000<
14061,2017-09-24,2017,Commercial,1600,1500<2000
14062,2017-12-04,2017,Outside,300,<500
14066,2017-11-01,2017,Outside,500,500<1000
14068,2017-11-21,2017,Apartment,600,500<1000
14069,2017-12-07,2017,Outside,1600,1500<2000
14071,2017-12-11,2017,Outside,800,500<1000
14072,2017-12-09,2017,Outside,350,<500
14073,2017-10-12,2017,Educational,250,<500
14074,2017-12-13,2017,Other,800,500<1000
14075,2017-12-09,2017,Outside,750,500<1000
14077,2017-10-12,2017,Educational,2000,2000<
14078,2017-12-13,2017,Other,150,<500
14079,2017-12-13,2017,House,300,<500
14080,2017-12-09,2017,Other,300,<500
14081,2017-12-14,2017,Other,240,<500
14082,2017-12-08,2017,Other,200,<500
14083,2017-12-02,2017,Apartment,450,<500
14084,2017-08-11,2017,House,500,500<1000
14085,2017-12-02,2017,Apartment,250,<500
14086,2017-12-02,2017,Apartment,250,<500
14087,2017-12-15,2017,Apartment,3000,2000<
14088,2017-07-26,2017,Outside,600,500<1000
14089,2017-12-02,2017,Apartment,450,<500
14090,2017-10-04,2017,Educational,250,<500
14091,2017-12-16,2017,Apartment,250,<500
14092,2017-11-01,2017,Apartment,1253.15,1000<1500
14093,2017-12-18,2017,Commercial,50,<500
14094,2017-10-13,2017,Educational,300,<500
14096,2017-11-24,2017,House,600,500<1000
14097,2017-10-17,2017,Educational,300,<500
14098,2017-12-18,2017,Apartment,2300,2000<
